WB Rankin	367	214	109	21	2	42	7
WD Parnell	858	278	260	45	0	88	26
WK McCallan	136	41	53	11	3	10	2
WPUJC Vaas	127	64	42	14	1	9	3
WT Gavera	49	26	19	5	0	5	0
XJ Doherty	294	84	96	20	2	17	14
YA Abdulla	41	26	11	2	0	5	1
Yasir Arafat	302	105	81	17	3	31	9
Yasir Shah	39	5	9	5	0	5	0
YK Pathan	429	99	136	24	3	26	22
Younis Khan	18	13	6	1	0	1	1
Yuvraj Singh	382	117	139	28	1	25	14
Z Khan	424	179	99	32	1	51	9
Zahid Hussain	46	27	22	6	0	3	0
Zamir Khan	24	9	12	4	0	1	0
Zeeshan Maqsood	29	8	9	4	0	3	0
Ziaur Rahman	124	18	38	4	0	12	5
Zulfiqar Babar	182	81	46	6	0	16	10
